	NULL	NULL	NULL	NULL	NULL
20MICRONS	27.3	45.7	34.21424	3.8079948	2015
20MICRONS	30.1	37.55	31.961111	1.8876467	2014
20MICRONS	29.85	160.8	41.641735	32.164646	2013
20MICRONS	61.7	163.9	100.75304	26.014528	2012
20MICRONS	35.85	69.95	49.14251	8.142063	2011
20MICRONS	36.85	60.9	53.64202	5.7246776	2010
3IINFOTECH	2.4	9.75	5.952848	2.0798936	2015
3IINFOTECH	6.05	13.1	8.42428	1.28447	2014
3IINFOTECH	3.7	9.2	5.8143144	1.2043129	2013
3IINFOTECH	7.1	20.65	11.7	3.697611	2012
3IINFOTECH	11.65	62.2	37.353035	12.292856	2011
3IINFOTECH	52.35	70.2	61.364895	4.0250864	2010
3MINDIA	6294.9	11641.4	8061.3716	943.428	2015
3MINDIA	3527.55	6648.65	4866.3706	1123.9281	2014
3MINDIA	2974.5	4196.9	3487.3706	281.74094	2013
3MINDIA	3447.45	4449.65	3859.6882	186.95708	2012
3MINDIA	3127.95	4798.15	3921.3633	412.14203	2011
3MINDIA	3312.6	4224.35	3709.0754	188.88205	2010
3RDROCK	151.95	205.5	181.1622	16.174908	2015
3RDROCK	79.0	158.9	132.47812	26.539293	2014
8KMILES	617.8	929.15	745.85443	83.02142	2015
8KMILES	98.2	775.05	292.89462	212.85728	2014
A2ZINFRA	12.45	31.4	18.618671	4.827566	2015
A2ZINFRA	17.15	17.15	17.15	0.0	2014
A2ZMES	9.75	35.1	17.918182	6.9219213	2014
A2ZMES	7.6	61.35	18.58246	13.115503	2013
A2ZMES	56.1	141.25	90.66174	23.86299	2012
A2ZMES	86.95	337.3	223.78178	57.128307	2011
A2ZMES	317.0	332.1	324.92142	5.4174886	2010
AANJANEYA	32.75	847.25	250.57964	291.8424	2013
AANJANEYA	444.0	807.45	587.1107	89.73527	2012
AANJANEYA	311.1	517.45	415.21014	46.96039	2011
AARTIDRUGS	550.15	1553.9	859.4332	281.76355	2015
AARTIDRUGS	205.8	860.15	519.86237	223.23204	2014
AARTIDRUGS	136.8	246.65	198.61774	19.6533	2013
AARTIDRUGS	75.25	224.05	133.27145	41.02659	2012
AARTIDRUGS	74.0	149.3	119.39312	20.101355	2011
AARTIDRUGS	133.15	159.55	141.80798	5.867986	2010
AARTIIND	247.85	448.0	330.82278	44.891567	2015
AARTIIND	87.3	311.55	199.57304	76.97443	2014
AARTIIND	64.85	105.35	84.363914	9.642313	2013
AARTIIND	47.35	101.0	72.56296	13.669155	2012
AARTIIND	43.3	64.8	49.95749	3.561978	2011
AARTIIND	51.25	84.3	64.012764	7.5661798	2010
AARVEEDEN	38.75	75.2	47.737095	8.3677025	2015
AARVEEDEN	32.8	57.3	44.460083	5.9899945	2014
AARVEEDEN	28.05	78.85	41.10504	12.903268	2013
AARVEEDEN	27.45	72.35	41.971313	11.824164	2012
AARVEEDEN	27.6	83.6	48.450607	13.398323	2011
AARVEEDEN	65.1	91.45	80.623405	6.6787558	2010
ABAN	277.25	515.55	399.06424	77.158775	2015
